TICKER,ATIVO,QUANTIDADE TEÓRICA,PESO (%)
COGN3       ,COGNA EDUCACAO S.A,10504679529.508505,5.998172749744713
MGLU3       ,MAGAZINE LUIZA S/A,7675722642.95964,4.3828381686721585
CIEL3       ,CIELO S.A - INSTITUICAO DE PAGAMENTO,7263088073.882191,4.14722380072401
SEQL3       ,SEQUOIA LOGISTICA E TRANSPORTES S.A,6035955606.670974,3.446531075688761
PCAR3       ,COMPANHIA BRASILEIRA DE DISTRIBUICAO,5196916994.891471,2.9674399693849285
RAIZ4       ,RAIZEN ENERGIN S.A.,5065419285.538369,2.892354768101065
AERI3       ,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GE,4714661893.184135,2.6920722724113446
CBAV3       ,COMPANHIA BRASILEIRA DE ALUMINIO,4089382497.2880845,2.335037693402535
HAPV3       ,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A,3584758008.204689,2.0468970746648316
ITSA4       ,ITAUSA S.A.,3564637808.0409417,2.0354084389570417
QUAL3       ,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,3276120395.2781057,1.870664975988985
CMIG4       ,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,2413540741.6794987,1.3781319331516966
CMIN3       ,CSN MINERACAO S.A.,2393126552.189419,1.366475429517906
LREN3       ,LOJAS RENNER S.A.,2332897596.7895947,1.3320846917509903
VAMO3       ,VAMOS LOCACAO DE CAMINHOES MAQUINAS E EQUIPAMENTO,2330935626.07682,1.330964406336085
BEEF3       ,MINERVA S.A.,2247470636.766283,1.2833058915728441
DXCO3       ,DEXCO S.A,2188586972.9880967,1.2496833154164468
CCRO3       ,CCR S.A.,2153088070.714979,1.2294134397232064
CCRO3       ,CCR S.A.,2153088070.714979,1.2294134397232064
MRFG3       ,MARFRIG GLOBAL FOODS S.A.,2088793593.3456404,1.192701288625924
MRVE3       ,MRV ENGENHARIA E PARTICIPACOES SA,2021959024.893934,1.1545387453420615
B3SA3       ,B3 S.A. - BRASIL BOLSA BALCAO,2013544434.4859288,1.1497340136276117
ABEV3       ,AMBEV S.A.,1971400427.550227,1.1256697827049378
TIMS3       ,TIM S A,1945961744.8872766,1.1111442931162563
BHIA3       ,VIA S.A.,1915174282.296265,1.093564649812675
CPLE6       ,COMPANHIA PARANAENSE DE ENERGIA,1868133243.3559225,1.0667042132711289
BBDC4       ,BANCO BRADESCO S.A.,1838550691.5087972,1.0498125740870023
GOAU4       ,METALURGICA GERDAU SOCIEDADE ANONIMA,1831208063.13288,1.0456199327682254
